Source,Target
35867154,35277962
35867154,33809374
35867154,36608844
36203746,33665547
35761559,33781578
35761559,31012310
35761559,31678860
36011232,35864767
36011232,35887691
36011232,35822030
35268010,34318860
35527773,34145802
35527773,36997825
35527773,36642089
35527773,37111867
32617048,31232416
32617048,32143904
32617048,30062753
32617048,34809794
30553819,34502095
30607876,32645288
30607876,32266744
30607876,32997178
30607876,31225464
37882184,37817744
37882184,37829117
31571399,34617226
31571399,32233198
31571399,31754872
31571399,35823123
31571399,33335726
35491220,31216866
35491220,30668877
35491220,33771715
31178543,31174171
31178543,30845569
31178543,35662743
31178543,35269470
33052354,36828052
33052354,35937208
33052354,31739827
37992518,37307621
37992518,37546043
37992518,34104686
36559482,34791938
36559482,36649380
36559482,35374926
36559482,31204155
38165774,38165582
36004228,35294005
36004228,34355484
33079632,34029555
37465966,37509444
37465966,37658468
35939555,36046937
35939555,30140987
35939555,35856515
36974207,36406091
36974207,36245659
34791938,36649380
34791938,35374926
34791938,31204155
36440107,34755893
36440107,35255714
36440107,34174472
30668086,31742433
36536913,36513395
36536913,36523578
33484264,30925102
33484264,35008637
33484264,33329584
32825878,30511183
32825878,30402657
34827579,34217727
34827579,37073591
34827579,35885912
34827579,34246656
36241283,36354697
36241283,37243891
36241283,37504988
34458208,35431311
34458208,34486294
35184484,33935013
35184484,32079324
37263229,37325780
37263229,37207478
37263229,35476416
37263229,37280116
37263229,36996137
35025365,33140921
35025365,35372965
35025365,36495335
38104881,38106313
38104881,38111299
38104881,38122354
38104881,38128544
38104881,38116097
38104881,38178317
36141749,35886775
36141749,34508578
31929192,31754872
31929192,34214815
31929192,30768679
36270278,36406091
36270278,35492781
36270278,36245659
36270278,36478328
30481200,31177581
30481200,30301579
30481200,32929263
38122354,38128544
32813875,31073276
32813875,33230905
32813875,36488895
37083542,34217727
37083542,36075861
37083542,34402659
36482331,35550210
32375332,31989047
32375332,31241234
32375332,36117553
32375332,31710484
30623865,35168108
38164196,38164109
38164196,38167637
35051391,36074994
35051391,36352916
36608844,35593464
36608844,35175726
36608844,36687711
36608844,35867154
36608844,36548193
36544600,36559520
38164836,38164651
38164836,38164642
34093837,34510980
34093837,32857477
34093837,35924110
31397678,36117553
31397678,30397236
31397678,32375332
31397678,31710484
33314476,31001290
33314476,34590200
31275902,35836137
31275902,32971741
31275902,35609560
33881922,32908843
33881922,35485126
34430177,35340926
34430177,35177349
34430177,32733144
37362428,37889517
37362428,37312192
34174472,36440107
34174472,37045081
36216191,36222424
34604253,33638574
36495335,35372965
36495335,35025365
36495335,34045766
36495335,33140921
35180449,35073967
35180449,31744904
32969433,34300008
32969433,35010632
32969433,35677098
32969433,32965847
31105333,30925102
31105333,34194241
31105333,36252438
31105333,33329584
34221370,35324165
30975718,31791000
32991834,32586283
30255814,33314476
30255814,31001290
30255814,33477703
30255814,33197743
35147712,36610231
36996137,34661524
36996137,36608844
36996137,36687711
36996137,35867154
36996137,37325780
35406563,35227975
35406563,32170497
35978408,34755893
35978408,35929875
34214815,34383267
34214815,31929192
34214815,34017409
34214815,30768679
35823123,32076118
35823123,30261085
35823123,33335726
35823123,31571399
35823123,31754872
36463325,36568103
36463325,36245659
36463325,35887691
36463325,36471636
36463325,36161601
36366065,36559482
36366065,36649380
36366065,34791938
36202265,36222424
36202265,36216191
33743051,34353844
33743051,32225058
35587364,35429143
35587364,36513654
35587364,35599916
31045081,32649958
30386190,36203746
30386190,35010632
30386190,33665547
32984717,31665929
34353844,35295870
34353844,35066447
34353844,33743051
37110504,35662743
37110504,31178543
35881570,36781921
35881570,34724678
36321215,36495335
36321215,36973663
37956320,37325780
37956320,37956611
37956320,37280116
37956320,37263229
37956320,37957013
38176339,38176352
38176339,38178165
38176339,38178134
38176339,38179329
31012310,35761559
31012310,33781578
34932380,34705052
34932380,30400928
34932380,36107315
38185730,38183998
38185730,38183932
38185730,38180612
33165635,31001290
31335660,35458338
31335660,34690418
36058912,30650558
36058912,34679133
36058912,36779792
35326236,34021831
35326236,35656694
35326236,33839228
32845661,35867154
38170208,38169998
38170208,38169743
31453986,36178712
31453986,34090205
34316411,34316934
38171139,38170975
38171139,38170319
38171139,38171889
38171139,38176352
35340926,35177349
30845269,30090124
30845269,36240793
34370393,35315126
34370393,35381782
34370393,34454325
33732532,35680648
32895756,31149466
32895756,35893942
33127695,33935013
33127695,35184484
33127695,35850673
36997825,35527773
36997825,36642089
36997825,36117553
36997825,35778389
38169706,38169487
38169706,38169516
37266897,36568103
37266897,36555644
34104686,33533962
34104686,31454454
35066447,34353844
35066447,35295870
36222424,36202265
36222424,36216191
36403613,36160630
37279318,37278734
37279318,36245659
37279318,37224368
37279318,36406091
37279318,37372138
38170975,38170543
38170975,38170319
38170975,38169998
38170975,38171139
37111227,37115864
37111227,37102482
37111227,37104331
37111227,37127311
30226082,34113419
30226082,30620754
30226082,31453986
30226082,32617048
35864767,35822030
35864767,35887691
31539260,35268526
31539260,36111851
31539260,32844106
31082487,31832920
31082487,32447263
38166569,38165774
38166569,38166122
38166569,38166121
37008715,30828545
37008715,36519810
35954511,35754849
35954511,35579363
35954511,35652719
37693325,36326340
37693325,37357863
37693325,36056398
36607956,36544600
35993529,33172147
