Target,Source,Weight
35724927,35766867,92
32380641,34148937,44
33069561,34141453,64
31003606,30993560,23
36002236,36763600,19
31060424,31356926,27
35656675,36883128,10
36005092,37088893,16
37325780,37956320,55
35907631,35899585,30
37159497,37114282,11
32741902,31022933,33
37203532,37159497,13
38148719,38148777,41
32939083,36024990,24
33743051,32225058,85
36172142,33326693,19
31469662,31416964,10
30133014,33146369,12
31059190,36670134,25
37903205,37911966,122
33091950,31507237,22
36714165,37328230,15
35903283,36000774,13
38155883,38156318,23
30925102,33484264,11
34203039,36839741,23
34939280,36733345,10
37103026,36781207,19
37264980,37852502,26
36209684,32705579,15
34924520,36529985,24
31507237,35150735,41
32869033,35221569,37
33575701,33768674,16
37769212,35930497,13
35516303,37687956,58
34453385,36987116,11
37060273,37050906,19
35393177,30630719,11
31751684,36381319,17
31895260,36670134,16
32431302,31195965,24
35712338,36078868,22
34799255,32804242,35
33738228,35136951,32
36309127,36318430,19
32726872,35282346,12
33507106,34715141,26
35591545,37957013,20
38150318,38150681,28
32143904,37743453,32
34755893,32677306,10
32832504,30979793,10
37596694,37685460,35
34111777,35158138,15
32967934,35683119,25
33448903,34775431,12
36001021,36491132,49
34826255,36238058,68
34059265,35828056,75
30034924,34715436,10
36333101,36509560,15
34388482,33653316,11
33296255,33221368,23
34872029,34224399,14
31165299,31966745,29
31194537,36284753,19
37193563,37013543,24
38150318,38150497,14
36070463,37239349,24
35041095,31711592,11
36124545,35594782,16
30607876,32266744,18
33425326,31026649,22
36045243,36045180,18
30492206,32729781,22
32296343,31660141,42
30993040,30268255,32
35611805,35591583,19
35937472,33061497,37
33816070,33542860,15
37003751,37293440,18
33624938,35644941,16
34942514,33296255,12
35191010,35417521,12
36407782,34680875,10
31482969,37239349,13
31940311,30412187,12
36025491,32937042,12
31266017,31389020,11
35318111,36304981,28
30233436,31665929,51
35861231,37293440,14
35998629,32804072,24
36000435,32286431,13
34191450,34145802,41
37182888,37178115,70
34506841,32858201,29
32946936,33199680,39
36916263,37687956,16
34894479,36626566,15
33749023,32058776,58
37446499,31728755,16
33318982,30469827,14
30391787,30604751,11
33317631,30053184,15
30633749,31573609,13
35071216,30030357,46
35200189,30230849,15
33560165,32590854,12
34886965,36743080,18
32504578,36312558,12
34281868,35973183,12
32984717,30233436,33
33983492,36548312,18
36820135,30768679,69
35857883,33018603,36
33902005,36368837,62
34198753,37523289,79
37628297,37599355,189
35497696,34978327,18
37593605,37581924,13
33072913,34217977,18
33936689,35651432,29
36352954,36352277,25
33186042,31285382,30
31742452,36568103,34
37351482,37351270,19
31469662,30113952,21
30193724,31668836,30
34934967,36072564,35
33637035,31089155,39
37429940,37427185,77
30666669,32225058,28
35485365,34872029,25
35867969,35767950,21
32430673,34384573,19
37098029,37903205,191
38149788,38150497,59
38147148,38140936,282
33741621,34368875,12
31101523,31865496,12
33059399,36111563,10
30073498,36828235,66
35279455,35071216,20
34680441,37853021,15
30799351,34286613,13
34777842,35795776,18
38111299,38104881,45
35150735,31017844,56
38122354,38147148,255
34398321,34389032,15
30756484,35591545,15
13095157,31262486,26
35478654,37516231,44
34708819,36154356,18
36186144,36656798,12
36536032,34973558,22
33585808,37744679,113
34734082,35342070,21
32761539,31895957,18
31369128,30993040,11
34695946,33725021,66
34277234,32813233,62
35500350,37900542,13
35918209,36160751,77
32386032,30454770,17
35831725,34589375,10
35043863,35925818,33
31961204,33686604,10
33603912,34270861,16
36569385,36975261,95
32678794,33000937,11
32841814,30828545,26
34154315,35665282,30
33866068,36338443,55
31895260,30396174,17
37973603,37889559,23
33869139,34090306,14
34519830,34536102,16
31458368,33638843,12
35100257,33191796,22
31310339,30076214,11
35680648,31643518,23
34738522,36217768,17
30614222,31800827,45
36387565,36172142,68
36243824,36298134,56
35476416,35707854,43
31411010,36847044,11
37207577,37198669,58
33249769,35992934,19
36495335,34630082,10
30025268,30654981,55
35243832,36390044,23
31195965,30642449,10
36089705,35272405,10
35816226,35707854,53
35319303,36037623,20
37922293,38162111,73
38149705,38150001,55
35675480,36078731,13
38159002,38159494,29
36326340,37693325,136
37040714,37292120,16
35135863,31468768,20
36119489,36812468,70
34999855,31579208,19
34170641,34168470,52
37654902,37656097,15
32690784,35591680,13
34412905,36412797,21
36493729,36192168,27
33387282,30925102,33
32058603,31734778,22
33761284,30598573,53
34044371,34032906,12
38155859,38156412,29
35880457,30481104,20
36449080,36297204,35
34846978,36906209,10
33141867,30732826,72
34900082,34899812,14
35837381,35134932,25
32694928,36958020,21
36071438,37379186,14
35173757,36397409,39
36160751,35918209,31
33920739,34402274,22
36452025,30921478,22
35875010,32930148,20
32233198,30491797,54
32797028,32937879,22
32748819,36368837,12
34791938,31204155,50
31204155,31947623,20
33607311,31761258,17
35008637,36531498,67
31205179,32254089,10
31481962,35160180,12
35177349,36796265,34
33187172,35584332,48
30270369,30511889,59
33399751,35916633,11
32278563,30342345,13
35599802,36724148,19
33929942,32951030,16
32574430,32492363,34
37395282,37399252,14
35296119,33338679,15
34207834,37817744,18
37337913,37276336,29
37108588,37067231,15
36880970,36996842,97
37939654,37941597,13
36084528,37347425,27
35325240,34694659,23
30531717,32140309,13
34042542,31245216,24
32917118,32900655,12
34746995,36781207,50
30664903,32236208,10
32076118,32233198,10
36924515,37136367,17
35641731,32619030,41
32967934,32429673,44
36532737,30915953,23
31432512,13103684,24
35369421,34799319,11
36179836,37237049,15
37978422,37765892,14
31904547,34277234,67
36749010,37956860,11
34689098,35860021,10
36947841,36834228,51
33335726,32076118,14
30084918,30804831,13
33502929,31908488,25
35256442,36873870,29
37144510,37108588,10
35799205,34675077,22
32012687,35494200,10
36139885,36588866,10
31269665,30820196,12
34803531,36339171,14
36563390,36714002,10
38160780,38161825,33
31232676,33397610,13
35157000,35714558,58
33883164,31061239,17
30305712,33055431,41
30406655,36049266,14
32607987,30677909,27
37092594,37064066,12
35536585,31507237,32
30925102,36531498,32
36347237,35781848,18
36610110,36569385,68
30343251,32802014,18
35888249,31356926,19
35967117,32948294,11
37395212,37417968,34
35887691,30682299,11
35857206,31555780,11
36975261,37201948,24
32710351,30449408,16
35828056,35836137,138
32195314,33078840,29
36145887,32297569,14
35808280,35823618,11
35066875,36317616,33
33985725,31316941,19
33303083,33485153,15
34718375,32189353,22
36437537,31179223,12
30430224,30900161,10
32167495,33082252,25
32912861,31080888,12
33034241,35928326,23
36516881,36000774,12
36060256,36026433,23
33355440,33055630,15
32678741,31410648,19
33741012,35076280,173
35629757,36971243,11
36150346,37141463,13
32954367,34567538,17
34652984,33628041,31
33061497,35937472,18
31418843,35010632,16
32904714,30041145,37
35468481,36947841,14
33711670,34916652,11
