4,366,370
34,26,2775
34,83,229
34,874,102
166,26,518
166,47,205
166,83,109
166,35,64
166,874,24
4,83,1533
4,35,389
4,874,43
35,26,691
35,47,157
35,83,109
35,874,92
26,35,627
26,874,111
6,133,795
4,20,2080
52,20,492
133,20,198
81,20,34
81,8,1125
80,20,84
80,8,1857
42,20,108
255,18,4
255,4,44
255,7,50
18,4,1868
18,7,2041
11,18,124
135,1,1096
135,29,669
1,135,1266
26,1,2468
827,1,45
827,83,27
827,8,36
827,26,36
827,4,41
828,1,18
828,83,2
828,8,23
828,26,21
828,4,38
1,83,441
8,80,1614
80,6,194
80,36,20
8,36,312
11,299,34
11,26,503
11,52,151
11,163,93
6,299,28
7,299,189
90,10,298
85,84,163
85,10,49
650,251,27
650,252,17
650,7,50
650,4,49
7,251,78
7,252,55
645,251,21
645,252,30
645,7,52
645,4,32
4,251,68
4,252,43
269,251,32
269,252,23
269,4,605
384,47,133
128,47,129
7,44,669
110,44,49
650,269,30
645,269,39
4,269,588
68,29,248
68,42,112
68,98,135
68,596,68
68,597,56
98,29,298
98,42,160
98,596,114
98,597,69
136,42,388
136,98,54
136,596,30
136,597,30
154,42,181
154,98,113
154,596,26
154,597,23
29,42,838
29,98,305
29,596,108
29,597,62
71,4,1373
71,1,1953
71,8,1013
71,66,46
42,66,158
26,34,2171
26,116,572
34,8,1072
34,116,548
65,34,480
65,116,121
4,116,483
116,6,213
116,26,749
116,8,308
116,34,690
8,84,1997
8,10,1048
4,84,3314
4,10,1618
31,308,84
31,178,59
31,338,29
147,31,91
147,308,25
147,178,8
147,338,8
147,4,72
337,31,104
337,308,29
337,178,8
337,338,8
337,4,64
4,308,41
4,178,105
4,338,15
7,31,982
7,308,58
7,178,75
7,338,18
37,42,196
37,44,208
37,162,186
38,42,195
38,44,299
38,162,186
39,42,188
39,44,186
39,162,186
7,42,337
7,162,186
1,98,390
1,68,437
68,4,406
68,1,480
4,98,207
4,68,336
98,4,292
98,8,96
98,1,470
98,68,145
73,98,76
73,68,69
276,99,7
276,7,178
276,26,77
276,298,24
276,325,13
52,99,131
52,26,2036
52,298,122
52,325,32
47,99,169
47,298,81
47,325,27
7,229,200
163,229,59
207,7,310
207,229,11
52,229,14
18,229,11
1,751,232
1,262,111
1,95,79
1,896,55
896,751,27
896,262,30
896,95,16
896,1,74
95,751,38
95,262,30
95,896,16
95,1,131
9,307,749
9,383,6
7,383,8
307,9,757
307,383,5
307,100,164
444,9,308
444,307,254
444,383,5
444,100,98
444,6,279
100,383,10
60,5,81
60,53,95
60,79,55
60,346,32
401,5,66
401,53,52
401,79,24
401,346,17
42,5,196
42,53,142
42,79,132
42,346,68
52,5,406
52,53,331
52,79,90
52,346,76
53,79,297
53,346,208
84,105,115
84,117,57
84,329,45
132,105,50
132,117,117
132,329,55
132,4,327
6,105,666
6,329,91
8,117,214
8,329,114
4,329,209
366,161,25
366,1,451
366,44,44
1,161,1869
38,161,58
38,8,51
38,4,343
4,161,1100
4,44,683
42,501,8
42,24,195
1,501,8
73,501,8
73,24,89
8,501,8
8,24,562
682,1,165
682,501,8
682,24,13
56,520,5
56,166,5
56,26,5
56,34,5
444,520,5
444,166,5
444,26,30
444,34,5
6,520,64
6,166,126
6,34,1059
31,285,184
31,66,277
1,285,596
8,285,258
29,285,433
31,34,65
31,304,13
31,6,277
31,7,980
308,31,172
308,34,25
308,304,13
308,6,18
308,7,127
178,31,21
178,34,9
178,304,5
178,6,14
178,7,102
338,31,7
338,34,3
338,304,1
338,6,1
338,7,7
4,304,129
210,7,410
210,4,406
210,8,92
210,34,30
105,8,593
105,34,105
358,1,178
358,501,33
24,1,1832
24,501,242
272,1,440
272,501,32
1,140,36
1,7,1320
1,143,36
1,357,21
4,357,87
137,140,21
137,7,35
137,143,21
137,357,21
47,357,53
9,67,346
47,139,104
65,140,114
65,139,23
65,143,111
26,139,619
6,140,535
6,139,221
6,143,711
4,139,465
105,84,91
105,6,508
105,152,26
105,9,484
117,84,91
117,152,136
329,84,67
329,6,86
329,152,34
329,8,112
329,9,299
6,269,248
26,269,27
160,6,74
160,26,54
160,4,145
90,15,142
90,167,265
90,1,2232
8,90,546
8,15,143
8,167,81
269,6,220
751,4,36
751,1,180
751,161,25
262,4,20
262,1,132
262,161,20
95,4,27
95,161,27
896,4,33
896,161,33
82,6,17
82,13,17
82,322,38
90,6,41
90,13,23
90,322,33
24,13,17
24,322,45
192,6,31
192,13,20
192,322,20
83,1,372
9,26,265
9,1,585
